name           ,slug           ,description                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,assets                            ,facets                                            ,optionGroups     ,optionValues       ,sku         ,price  ,taxCategory,stockOnHand,trackInventory,variantAssets,variantFacets
Laptop         ,laptop         ,"Now equipped with seventh-generation Intel Core processors, Laptop is snappier than ever. From daily tasks like launching apps and opening files to more advanced computing, you can power through your day thanks to faster SSDs and Turbo Boost processing up to 3.6GHz."                                                                                                                                                                                                                 ,derick-david-409858-unsplash.jpg  ,category:electronics|category:computers|brand:pear,"screen size|RAM","13 inch|8GB"      ,L2201308    ,1299.00,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,"15 inch|8GB"      ,L2201508    ,1399.00,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,"13 inch|16GB"     ,L2201316    ,2199.00,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,"15 inch|16GB"     ,L2201516    ,2299.00,standard   ,0          ,false         ,             ,
Curvy Monitor  ,curvy-monitor  ,"Discover a truly immersive viewing experience with this monitor curved more deeply than any other. Wrapping around your field of vision the 1,800 R screencreates a wider field of view, enhances depth perception, and minimises peripheral distractions to draw you deeper in to your content."                                                                                                                                                                                           ,alexandru-acea-686569-unsplash.jpg,category:electronics|category:computers|brand:bell,monitor size     ,24 inch            ,C24F390     ,143.74 ,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,27 inch            ,C27F390     ,169.94 ,standard   ,0          ,false         ,             ,
Gaming PC      ,gaming-pc      ,"This pc is optimised for gaming, and is also VR ready. The Intel Core-i7 CPU and High Performance GPU give the computer the raw power it needs to function at a high level."                                                                                                                                                                                                                                                                                                                ,florian-olivo-1166419-unsplash.jpg,category:electronics|category:computers           ,"cpu|HDD"        ,"i7-8700|240GB SSD",CGS480VR1063,1087.20,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,"R7-2700|240GB SSD",CGS480VR1064,1099.95,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,"i7-8700|120GB SSD",CGS480VR1065,931.20 ,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,"R7-2700|120GB SSD",CGS480VR1066,949.20 ,standard   ,0          ,false         ,             ,
Hard Drive     ,hard-drive     ,"Boost your PC storage with this internal hard drive, designed just for desktop and all-in-one PCs."                                                                                                                                                                                                                                                                                                                                                                                         ,vincent-botta-736919-unsplash.jpg ,category:electronics|category:computers           ,"HDD capacity"   ,1TB                ,IHD455T1    ,37.99  ,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,2TB                ,IHD455T2    ,53.74  ,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,3TB                ,IHD455T3    ,78.96  ,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,4TB                ,IHD455T4    ,92.99  ,standard   ,0          ,false         ,             ,
               ,               ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                  ,                                                  ,                 ,6TB                ,IHD455T6    ,134.35 ,standard   ,0          ,false         ,             ,
Clacky Keyboard,clacky-keyboard,"Let all your colleagues know that you are typing on this exclusive, colorful klicky-klacky keyboard. Huge travel on each keypress ensures maximum klack on each and every keystroke."                                                                                                                                                                                                                                                                                                       ,                                  ,category:electronics|category:computers           ,                 ,                   ,A4TKLA45535 ,74.89  ,standard   ,0          ,false         ,             ,
USB Cable      ,usb-cable      ,"Solid conductors eliminate strand-interaction distortion and reduce jitter. As the surface is made of high-purity silver, the performance is very close to that of a solid silver cable, but priced much closer to solid copper cable."                                                                                                                                                                                                                                                     ,                                  ,category:electronics|category:computers           ,                 ,                   ,USBCIN01.5MI,69.00  ,standard   ,0          ,false         ,             ,
Instant Camera ,instant-camera ,"With its nostalgic design and simple point-and-shoot functionality, the Instant Camera is the perfect pick to get started with instant photography."                                                                                                                                                                                                                                                                                                                                        ,                                  ,category:electronics|category:photo               ,                 ,                   ,IC22MWDD    ,174.99 ,standard   ,0          ,false         ,             ,brand:pear
